employee_id,age,experience_years,department,education_level,work_mode,job_level,salary,training_hours,projects_completed,average_monthly_hours,on_time_delivery_rate,absenteeism_days,satisfaction_score,manager_feedback_score,peer_feedback_score,overtime_hours,promotions_last_5_years,performance_score,performance_band
EMP1016,40,16,HR,Bachelor,Onsite,5,1373956,42,7,120,0.74,7,8.4,9.2,9.2,13,2,72.5,Medium
EMP1017,26,1,Sales,Master,Onsite,1,365399,42,3,191,0.8,2,8.5,5.6,5.2,11,2,41.4,Low
EMP1018,52,26,Sales,Bachelor,Onsite,6,1879642,36,5,176,0.56,1,6.0,9.1,6.6,22,0,65.5,Medium
EMP1019,38,15,IT,Diploma,Remote,4,1180507,30,2,143,0.44,8,5.3,5.5,6.5,10,1,17.8,Low
EMP1020,40,15,IT,Bachelor,Hybrid,4,1114370,33,6,179,0.66,1,2.8,10.0,9.7,19,2,61.9,Medium
EMP1021,35,11,IT,Bachelor,Onsite,3,968417,37,7,162,0.81,4,6.2,5.5,10.0,9,1,64.0,Medium
EMP1022,28,1,Operations,MBA,Hybrid,1,401266,61,2,162,0.39,3,5.1,8.5,7.6,0,3,64.7,Medium
EMP1023,55,30,Sales,Bachelor,Remote,6,2048767,31,9,156,0.68,6,7.5,6.4,8.3,10,0,63.8,Medium
EMP1024,50,27,IT,Diploma,Hybrid,6,1906109,36,4,180,0.55,5,6.3,8.0,8.2,14,0,55.8,Medium
EMP1025,45,18,Operations,Master,Hybrid,5,1392570,22,4,156,0.75,2,6.4,6.8,5.2,13,0,55.1,Medium
EMP1026,36,16,Finance,Bachelor,Remote,5,1279662,46,4,150,1.0,6,8.1,5.3,8.0,13,0,73.1,Medium
EMP1027,51,24,Finance,Master,Hybrid,6,1777586,56,2,190,0.75,3,7.4,2.7,5.6,8,1,34.7,Low
EMP1028,41,20,Operations,Master,Hybrid,6,1591322,59,2,167,0.77,5,6.6,10.0,6.8,9,1,70.4,Medium
EMP1029,37,15,IT,MBA,Onsite,4,1176955,38,6,167,0.88,6,9.5,7.0,8.6,3,0,62.3,Medium
EMP1030,38,12,IT,MBA,Onsite,4,1125471,44,6,182,0.78,6,8.0,2.5,7.1,0,1,38.9,Low
EMP1031,30,5,Sales,Master,Remote,2,570856,33,2,158,0.75,2,6.1,7.4,8.5,11,2,47.5,Low
EMP1032,25,0,IT,Master,Hybrid,1,290823,43,7,162,0.89,4,6.2,7.9,8.8,6,3,58.0,Medium
EMP1033,41,16,Sales,Bachelor,Hybrid,5,1401821,40,7,176,0.84,6,8.1,5.8,4.5,21,1,38.0,Low
EMP1034,53,28,IT,Master,Hybrid,6,1973429,36,3,142,0.81,6,7.1,5.8,4.0,0,0,36.4,Low
EMP1035,24,2,IT,Diploma,Onsite,1,392099,37,5,174,0.76,4,5.0,6.9,8.6,14,1,51.6,Medium
EMP1036,52,32,IT,Master,Remote,6,2124369,42,7,156,0.74,4,8.2,8.7,8.7,29,0,69.0,Medium
EMP1037,51,31,Finance,Master,Onsite,6,2072739,31,3,185,0.89,2,8.8,7.0,7.4,11,0,77.2,High
EMP1038,31,9,IT,Bachelor,Remote,3,727719,31,6,180,0.74,4,8.7,9.1,7.5,12,1,62.2,Medium
EMP1039,44,24,IT,MBA,Hybrid,6,1704676,61,4,177,0.93,3,9.3,8.6,8.3,15,0,85.7,High
EMP1040,27,3,Operations,Diploma,Onsite,1,452457,76,4,141,0.65,5,10.0,6.6,8.2,16,2,63.0,Medium
EMP1041,49,23,HR,Bachelor,Onsite,6,1687169,17,7,168,0.95,4,9.6,4.5,6.6,9,0,60.1,Medium
EMP1042,47,20,HR,Bachelor,Remote,6,1582355,16,4,149,0.84,5,7.3,6.6,8.3,4,0,55.9,Medium
EMP1043,34,11,IT,Master,Onsite,3,1011474,21,3,169,0.66,4,6.5,7.7,6.5,17,1,46.3,Low
EMP1044,24,0,HR,Master,Onsite,1,303923,33,4,128,0.84,3,3.9,7.0,7.3,0,2,48.7,Low
EMP1045,56,29,IT,Master,Hybrid,6,1922117,48,5,142,0.7,5,6.8,7.9,7.3,19,3,68.9,Medium
EMP1046,38,12,Sales,Bachelor,Onsite,4,1086242,44,6,191,0.78,3,7.6,8.2,5.8,9,0,53.6,Medium
EMP1047,54,31,IT,Bachelor,Onsite,6,2048668,38,7,177,0.72,0,6.9,7.7,6.0,12,2,83.7,High
EMP1048,46,24,Operations,Master,Onsite,6,1742196,43,2,164,0.76,4,3.8,6.5,10.0,8,0,33.6,Low
EMP1049,50,23,Operations,Master,Remote,6,1690411,25,7,154,0.89,6,6.3,7.7,5.8,23,2,56.4,Medium
EMP1050,49,28,IT,Master,Onsite,6,2042091,31,3,150,0.84,5,7.8,10.0,7.5,14,0,63.1,Medium
EMP1051,29,6,IT,Master,Onsite,2,547964,35,5,174,0.64,3,5.2,4.7,7.8,9,0,36.8,Low
EMP1052,35,15,IT,Master,Onsite,4,1185583,11,8,164,0.65,6,7.1,7.6,6.9,9,1,48.8,Low
EMP1053,38,12,Sales,MBA,Onsite,4,1069815,18,7,198,0.81,4,7.5,9.6,7.9,11,1,71.5,Medium
EMP1054,39,14,IT,Master,Onsite,4,1120942,18,3,167,0.82,2,8.6,5.1,7.5,31,0,55.8,Medium
EMP1055,23,3,Operations,Master,Onsite,1,499991,46,3,171,0.7,3,9.5,8.4,5.8,1,0,47.5,Low
EMP1056,41,20,Marketing,Master,Onsite,6,1610662,39,5,145,0.97,2,6.2,8.6,7.8,21,0,70.8,Medium
EMP1057,27,3,Marketing,Bachelor,Hybrid,1,452612,44,3,164,0.88,4,7.1,4.7,6.2,17,0,28.1,Low
EMP1058,48,24,Sales,Bachelor,Remote,6,1736466,7,5,173,0.7,6,7.1,8.0,9.4,24,0,56.4,Medium
EMP1059,46,20,Operations,Master,Onsite,6,1564402,13,7,163,0.69,1,7.8,6.5,7.6,17,1,58.0,Medium
EMP1060,55,33,IT,MBA,Onsite,6,2149760,45,3,161,0.75,6,7.7,6.8,6.0,12,1,49.1,Low
EMP1061,48,21,Finance,Master,Remote,6,1611081,0,1,176,0.74,3,9.1,6.4,7.5,20,0,30.5,Low
EMP1062,35,12,HR,Bachelor,Remote,4,1060600,53,7,197,0.93,0,3.1,8.9,5.7,14,0,76.6,High
EMP1063,56,30,Operations,Master,Hybrid,6,2032622,8,6,173,0.9,12,7.5,6.7,7.4,18,1,42.8,Low
EMP1064,36,15,Sales,Bachelor,Onsite,4,1242660,48,4,191,0.78,4,7.6,6.2,6.7,23,1,52.1,Medium
EMP1065,33,13,Marketing,Master,Hybrid,4,1053486,22,7,181,0.86,4,6.4,6.2,5.8,13,0,55.1,Medium
EMP1066,54,34,IT,MBA,Onsite,6,2147466,51,1,190,0.88,5,3.2,6.4,5.8,9,0,20.4,Low
EMP1067,35,13,Operations,Master,Onsite,4,1027574,83,4,159,0.79,8,6.7,5.3,10.0,7,1,48.5,Low
EMP1068,24,0,Finance,Master,Onsite,1,363319,1,4,166,0.83,7,5.7,6.2,7.1,16,0,25.9,Low
EMP1069,38,18,Finance,Bachelor,Hybrid,5,1422516,45,6,166,0.85,4,9.5,7.1,6.4,5,0,55.1,Medium
EMP1070,50,28,Operations,Bachelor,Onsite,6,1955263,8,8,180,0.84,1,7.4,7.5,6.2,9,2,60.5,Medium
EMP1071,28,8,Finance,MBA,Hybrid,3,748525,41,11,184,0.69,1,5.5,8.7,7.7,4,0,72.5,Medium
EMP1072,38,11,Finance,Master,Onsite,3,1044247,32,8,172,0.7,4,3.5,7.3,6.1,16,1,37.2,Low
EMP1073,26,1,Sales,Master,Onsite,1,334557,37,7,186,0.75,2,7.7,6.2,5.5,6,0,51.5,Medium
EMP1074,46,20,IT,Bachelor,Hybrid,6,1578410,21,3,160,0.7,6,7.9,5.4,7.0,2,1,39.8,Low
EMP1075,39,14,HR,Bachelor,Remote,4,1202719,47,5,186,0.6,0,6.5,7.3,6.9,3,0,63.9,Medium
EMP1076,33,8,IT,Bachelor,Onsite,3,770651,13,5,188,0.86,4,7.8,6.7,6.4,7,2,66.1,Medium
EMP1077,30,4,IT,Bachelor,Hybrid,2,542683,54,5,182,0.82,2,6.2,6.8,5.8,8,0,52.8,Medium
EMP1078,42,22,Operations,Bachelor,Onsite,6,1668958,29,6,172,0.62,2,8.5,7.3,6.5,14,0,62.3,Medium
EMP1079,46,20,Sales,Diploma,Onsite,6,1712873,14,5,183,0.75,6,8.4,7.7,6.3,11,1,51.5,Medium
EMP1080,55,30,HR,Master,Hybrid,6,2035056,59,3,154,0.76,8,4.2,7.3,6.1,15,0,37.2,Low
EMP1081,37,12,Finance,Bachelor,Onsite,4,1150318,34,6,174,0.8,6,4.6,6.6,7.4,16,0,44.6,Low
EMP1082,27,4,Finance,Bachelor,Hybrid,2,630283,64,7,175,0.65,1,10.0,5.7,10.0,18,0,86.3,High
EMP1083,51,25,Sales,Bachelor,Hybrid,6,1813400,53,7,146,0.62,6,8.3,6.0,8.9,0,1,70.8,Medium
EMP1084,44,21,Operations,MBA,Onsite,6,1565540,23,10,179,0.84,4,4.8,8.2,9.7,3,1,79.6,High
EMP1085,47,27,Operations,Bachelor,Onsite,6,1937987,34,6,148,0.6,4,4.3,6.3,6.2,16,2,53.8,Medium
EMP1086,25,0,Finance,MBA,Onsite,1,245094,37,4,162,0.75,4,7.1,4.9,9.3,14,2,47.3,Low
EMP1087,33,12,HR,MBA,Remote,4,1150043,58,4,171,0.74,1,5.0,8.6,7.3,20,1,57.2,Medium
EMP1088,49,29,Finance,Bachelor,Hybrid,6,1985000,42,5,157,0.77,2,6.3,5.5,8.4,0,1,55.7,Medium
EMP1089,51,27,Sales,Master,Onsite,6,1752488,38,4,171,0.81,3,6.7,7.0,7.6,8,0,56.4,Medium
EMP1090,37,16,Finance,Diploma,Onsite,5,1302974,32,6,171,0.97,6,6.7,7.6,6.5,10,0,48.3,Low
EMP1091,50,24,Sales,Bachelor,Hybrid,6,1782697,34,2,155,0.59,2,8.6,6.9,8.0,13,0,47.7,Low
EMP1092,52,29,Sales,Bachelor,Onsite,6,1963148,55,7,180,0.89,3,9.7,3.2,7.7,12,0,59.0,Medium
EMP1093,35,15,HR,Diploma,Hybrid,4,1240750,35,4,156,0.48,4,6.0,7.5,4.5,16,1,36.6,Low
EMP1094,54,27,HR,MBA,Hybrid,6,1842498,29,4,211,0.95,9,5.0,8.9,6.8,11,0,48.2,Low
EMP1095,32,8,HR,Master,Hybrid,3,754700,27,5,168,0.53,1,7.4,8.1,8.2,23,0,42.8,Low
EMP1096,30,8,IT,Master,Onsite,3,816427,27,4,149,1.0,5,9.4,3.7,7.4,26,0,38.5,Low
EMP1097,46,21,IT,Bachelor,Onsite,6,1616578,14,9,152,0.73,6,6.2,10.0,7.7,3,2,85.8,High
EMP1098,44,20,Marketing,MBA,Onsite,6,1552580,24,8,191,0.93,3,8.2,4.9,5.9,12,0,64.4,Medium
EMP1099,27,7,Finance,Master,Hybrid,2,766364,57,2,163,0.91,6,5.5,5.3,7.4,18,0,37.7,Low
EMP1100,51,25,IT,Bachelor,Remote,6,1752489,32,5,145,0.73,3,6.8,8.1,6.9,17,1,56.0,Medium
EMP1101,29,6,Sales,Master,Onsite,2,675658,46,2,185,0.74,6,4.9,7.6,6.7,9,0,34.3,Low
EMP1102,50,25,Marketing,Diploma,Hybrid,6,1798398,0,5,163,0.68,7,6.8,7.0,6.0,14,0,33.5,Low
EMP1103,22,0,IT,MBA,Hybrid,1,242164,44,2,182,0.87,4,6.6,6.0,8.3,0,0,36.2,Low
EMP1104,50,26,Marketing,Bachelor,Onsite,6,1774048,33,6,187,0.73,4,7.8,8.9,7.5,12,0,65.3,Medium
EMP1105,50,25,Operations,Bachelor,Onsite,6,1795595,28,5,175,0.68,4,9.6,6.8,7.3,0,1,58.3,Medium
EMP1106,50,28,Sales,Diploma,Onsite,6,2029059,38,8,213,0.84,3,6.2,4.6,9.9,16,0,53.5,Medium
EMP1107,45,24,Sales,Diploma,Hybrid,6,1778963,28,5,139,0.67,4,3.6,8.7,7.7,3,0,37.0,Low
EMP1108,38,15,IT,Master,Hybrid,4,1118718,3,4,155,0.74,1,6.5,7.2,8.7,13,0,50.2,Medium
EMP1109,47,21,Operations,Master,Hybrid,6,1459475,49,6,165,0.79,2,7.3,8.6,7.4,15,4,76.3,High
EMP1110,31,7,Finance,Master,Remote,2,741652,39,3,211,0.7,5,7.1,7.8,6.5,13,1,42.8,Low
EMP1111,50,28,Operations,Bachelor,Hybrid,6,1925189,30,4,202,0.72,8,6.5,10.0,5.5,7,2,39.5,Low
EMP1112,42,16,Sales,Bachelor,Remote,5,1377063,21,8,193,0.96,3,9.2,6.4,7.3,10,0,79.0,High
EMP1113,38,12,IT,Bachelor,Hybrid,4,1025964,13,4,156,0.76,5,7.0,6.9,3.3,21,1,47.2,Low
EMP1114,40,13,IT,Bachelor,Remote,4,1132510,38,4,158,0.74,5,6.6,8.0,7.4,9,1,60.2,Medium
EMP1115,42,20,Sales,MBA,Remote,6,1612308,59,6,155,0.76,3,5.6,6.4,7.4,12,1,68.5,Medium
EMP1116,23,0,Sales,Bachelor,Hybrid,1,297626,38,6,156,0.83,4,4.0,8.1,6.7,8,2,56.2,Medium
EMP1117,27,3,IT,Bachelor,Remote,1,433695,14,3,197,0.66,2,7.3,2.5,6.9,20,0,22.2,Low
EMP1118,30,7,Marketing,Master,Remote,2,706263,38,4,166,0.83,9,7.2,6.8,5.2,13,0,33.7,Low
EMP1119,26,3,Operations,Bachelor,Hybrid,1,482133,34,8,168,0.81,7,5.1,6.7,8.9,6,0,42.8,Low
EMP1120,37,17,Finance,Bachelor,Hybrid,5,1364283,48,5,184,0.57,5,6.7,6.7,6.5,12,0,48.9,Low
EMP1121,46,24,Finance,Master,Hybrid,6,1798699,44,5,140,1.0,4,6.6,5.6,5.6,10,2,61.3,Medium
EMP1122,45,21,IT,Bachelor,Remote,6,1591903,0,4,171,0.96,6,5.8,8.3,7.8,23,1,44.7,Low
EMP1123,38,11,Marketing,Master,Hybrid,3,888580,43,2,150,0.68,4,5.5,6.1,7.2,12,1,38.5,Low
EMP1124,52,26,HR,Diploma,Remote,6,1938848,20,3,165,0.65,1,7.4,7.2,6.5,1,1,46.4,Low
EMP1125,42,21,Operations,Bachelor,Hybrid,6,1584768,14,6,159,0.81,2,6.4,6.8,6.4,16,0,48.4,Low
EMP1126,24,0,HR,Diploma,Remote,1,291577,32,3,159,0.61,3,5.9,7.7,7.0,26,0,41.9,Low
EMP1127,49,29,Sales,Diploma,Onsite,6,1971709,41,4,174,0.94,6,5.4,9.0,8.9,22,2,69.5,Medium
EMP1128,42,17,IT,MBA,Hybrid,5,1368359,10,5,174,0.72,5,6.6,7.2,7.7,3,1,44.9,Low
EMP1129,44,22,IT,Master,Hybrid,6,1640665,46,4,166,0.97,1,8.3,8.2,7.0,10,2,78.0,High
EMP1130,42,19,Marketing,Master,Remote,5,1454128,46,8,177,0.68,4,7.1,7.1,8.2,12,1,69.9,Medium
EMP1131,41,16,Finance,Master,Remote,5,1318011,36,6,154,0.77,6,6.4,6.1,7.0,12,0,31.1,Low
EMP1132,25,2,Sales,Master,Hybrid,1,418740,22,6,182,0.93,1,7.3,6.7,7.6,15,0,56.6,Medium
EMP1133,42,16,Operations,Bachelor,Hybrid,5,1202125,20,8,166,0.74,4,9.0,6.5,7.2,9,2,57.4,Medium
EMP1134,50,26,Operations,Diploma,Onsite,6,1934043,50,3,161,0.81,3,7.6,7.8,7.8,5,2,68.1,Medium
EMP1135,32,5,Operations,Master,Remote,2,607635,12,4,156,0.91,5,7.2,7.1,6.4,20,2,54.8,Medium
EMP1136,43,18,IT,MBA,Onsite,5,1439031,51,4,166,0.71,6,7.8,5.7,5.4,3,1,45.7,Low
EMP1137,23,1,Sales,Bachelor,Hybrid,1,296094,33,4,204,0.63,5,6.5,6.6,8.3,6,0,34.8,Low
EMP1138,34,8,Operations,Bachelor,Hybrid,3,796449,34,6,169,0.6,6,7.1,4.6,9.1,3,0,33.9,Low
EMP1139,37,14,HR,Master,Hybrid,4,1126384,9,7,149,0.85,4,6.0,6.6,5.5,17,2,43.5,Low
EMP1140,57,33,IT,Master,Onsite,6,2228486,33,5,187,0.83,6,4.3,6.9,7.3,13,1,61.9,Medium
EMP1141,29,8,Marketing,Bachelor,Onsite,3,790709,44,5,162,0.91,1,7.3,9.6,6.4,19,1,76.9,High
EMP1142,31,11,Finance,Bachelor,Remote,3,992903,15,5,175,0.75,1,7.4,8.9,8.2,6,1,69.7,Medium
EMP1143,36,12,Sales,Bachelor,Hybrid,4,1037478,42,3,159,0.61,5,6.3,5.3,7.3,2,0,14.5,Low
EMP1144,57,35,Operations,Master,Onsite,6,2222369,36,2,193,0.5,5,8.5,7.2,10.0,8,2,47.6,Low
EMP1145,52,25,Sales,Bachelor,Hybrid,6,1782722,25,12,159,1.0,4,5.6,7.2,6.6,11,2,79.7,High
EMP1146,23,0,Finance,Diploma,Onsite,1,384192,48,9,195,0.84,4,4.0,6.6,9.2,14,0,55.8,Medium
EMP1147,30,5,HR,Bachelor,Remote,2,520507,2,4,151,0.8,6,5.7,6.6,9.3,0,1,38.6,Low
EMP1148,51,26,Finance,Bachelor,Onsite,6,1774216,40,5,165,0.81,3,4.3,6.4,7.7,16,1,52.5,Medium
EMP1149,24,0,IT,Bachelor,Onsite,1,222634,59,11,195,0.61,5,7.3,9.7,7.1,5,1,85.1,High
EMP1150,52,32,Marketing,Master,Onsite,6,2055624,57,6,173,0.68,7,5.6,6.3,7.1,7,0,33.0,Low
EMP1151,32,9,Marketing,Master,Hybrid,3,824419,41,5,211,0.99,8,8.4,7.4,7.0,21,0,47.2,Low
EMP1152,55,32,HR,Master,Hybrid,6,2029275,30,8,165,0.86,4,8.3,3.1,8.6,0,0,59.0,Medium
EMP1153,32,5,HR,Diploma,Hybrid,2,578292,25,1,175,0.69,3,5.3,8.1,5.8,15,2,29.5,Low
EMP1154,37,16,Operations,Bachelor,Hybrid,5,1219264,30,4,204,0.63,6,5.5,8.7,6.8,15,1,40.6,Low
EMP1155,45,22,IT,Master,Onsite,6,1609100,43,7,143,0.72,4,7.7,5.3,6.6,5,1,57.5,Medium
EMP1156,26,4,Sales,Bachelor,Onsite,2,630021,23,11,141,0.74,2,8.4,6.1,4.6,8,0,57.5,Medium
EMP1157,42,21,Finance,Bachelor,Onsite,6,1635179,46,6,156,1.0,3,3.6,7.6,8.2,22,1,65.1,Medium
EMP1158,40,20,Sales,Master,Remote,6,1579373,67,4,185,0.76,6,7.3,6.9,8.5,28,0,59.3,Medium
EMP1159,50,28,IT,Bachelor,Onsite,6,1879861,34,5,141,0.64,3,3.3,7.6,6.1,21,2,44.3,Low
EMP1160,57,35,Sales,Master,Remote,6,2168195,15,5,181,0.77,1,5.9,6.5,8.4,27,2,64.7,Medium
EMP1161,45,25,HR,Master,Onsite,6,1738042,15,6,179,0.81,1,8.5,9.7,4.8,6,0,55.8,Medium
EMP1162,36,14,Sales,Master,Onsite,4,1157839,47,5,206,0.63,5,10.0,5.9,7.0,0,0,49.7,Low
EMP1163,36,15,IT,Master,Onsite,4,1248408,34,3,189,0.83,3,6.4,10.0,6.8,12,1,69.4,Medium
EMP1164,37,13,Finance,Master,Onsite,4,1160118,48,2,177,0.93,7,4.8,8.8,7.1,18,0,37.2,Low
EMP1165,51,31,Sales,Bachelor,Hybrid,6,2096530,27,4,194,0.8,3,6.0,8.1,7.1,0,0,48.6,Low
EMP1166,33,11,IT,Bachelor,Hybrid,3,918122,47,5,180,0.68,4,6.9,5.3,6.9,5,0,42.3,Low
EMP1167,28,5,IT,Bachelor,Onsite,2,616227,33,4,162,0.72,2,5.7,8.3,6.5,5,0,48.8,Low
EMP1168,34,7,IT,Master,Hybrid,2,688932,24,6,149,0.58,2,5.3,7.8,6.8,15,1,44.4,Low
EMP1169,22,0,HR,Diploma,Hybrid,1,309940,29,6,160,0.76,6,6.1,3.7,8.9,14,3,53.4,Medium
EMP1170,25,0,IT,Bachelor,Remote,1,421856,17,6,169,0.82,5,7.4,4.8,6.2,6,2,42.6,Low
EMP1171,25,3,Operations,Master,Remote,1,366899,65,7,173,0.67,1,6.5,7.4,10.0,13,1,69.7,Medium
EMP1172,49,26,Finance,MBA,Hybrid,6,1828266,34,7,132,1.0,1,5.4,6.7,6.1,3,0,54.4,Medium
EMP1173,48,25,Marketing,MBA,Remote,6,1855587,45,4,166,0.88,2,5.7,6.1,7.3,9,0,57.5,Medium
EMP1174,47,20,Operations,Master,Hybrid,6,1496705,27,5,171,0.56,3,6.1,8.5,7.8,2,0,46.1,Low
EMP1175,38,11,IT,Master,Hybrid,3,922812,19,3,180,0.57,6,5.2,5.6,6.6,11,0,33.6,Low
EMP1176,47,20,Sales,Master,Hybrid,6,1543548,31,8,199,0.66,3,5.7,6.2,8.9,6,1,63.4,Medium
EMP1177,27,1,Operations,MBA,Onsite,1,353835,52,4,173,0.97,4,7.8,5.9,7.8,18,0,60.4,Medium
EMP1178,54,30,Sales,Bachelor,Hybrid,6,1940202,27,4,154,0.89,2,6.4,7.7,6.7,12,2,65.6,Medium
EMP1179,40,16,Finance,Diploma,Remote,5,1349764,22,8,137,0.97,2,4.0,4.3,8.9,10,0,61.1,Medium
EMP1180,55,28,Finance,Bachelor,Onsite,6,1963314,37,5,182,0.78,3,8.4,6.2,5.6,26,0,35.7,Low
EMP1181,27,5,IT,MBA,Remote,2,640418,42,5,154,0.75,8,7.5,4.3,6.2,15,2,24.2,Low
EMP1182,39,17,Sales,Bachelor,Remote,5,1321481,60,8,186,0.63,2,4.6,6.4,7.8,9,2,71.3,Medium
EMP1183,47,20,Operations,Bachelor,Onsite,6,1574325,40,6,195,0.82,3,6.2,8.0,8.1,7,0,77.8,High
EMP1184,39,16,Operations,Bachelor,Hybrid,5,1275027,45,3,142,0.76,1,5.5,8.0,7.5,3,2,50.4,Medium
EMP1185,38,17,IT,Bachelor,Remote,5,1348370,46,5,180,0.75,1,7.9,5.8,6.8,11,0,45.2,Low
EMP1186,27,3,Marketing,Bachelor,Remote,1,562673,18,8,193,0.97,5,6.2,7.7,6.6,14,0,58.8,Medium
EMP1187,35,13,HR,Bachelor,Onsite,4,1119784,21,2,188,0.76,5,6.7,6.6,8.6,0,0,42.2,Low
EMP1188,30,3,Operations,Master,Onsite,1,395623,19,7,132,0.94,5,6.5,8.9,7.3,1,0,63.1,Medium
EMP1189,32,5,IT,Bachelor,Hybrid,2,624016,15,5,155,0.59,5,4.4,6.7,5.8,8,0,22.8,Low
EMP1190,46,24,Operations,MBA,Onsite,6,1682410,47,6,147,1.0,3,9.0,2.4,5.7,3,1,41.2,Low
EMP1191,44,20,Marketing,MBA,Onsite,6,1510049,39,6,179,0.74,4,7.9,8.2,9.1,12,1,70.3,Medium
EMP1192,43,16,IT,Master,Onsite,5,1267943,36,6,177,0.86,6,5.6,6.2,6.0,13,0,41.0,Low
EMP1193,35,10,IT,Bachelor,Onsite,3,887784,0,2,121,0.88,7,7.1,6.5,7.4,11,0,25.3,Low
EMP1194,56,35,Marketing,Bachelor,Hybrid,6,2291848,66,3,165,0.72,6,8.4,7.4,8.9,16,2,53.8,Medium
EMP1195,25,1,IT,Diploma,Hybrid,1,393919,22,5,184,0.88,5,6.9,4.8,7.8,7,3,49.8,Low
EMP1196,34,10,Sales,Bachelor,Hybrid,3,936149,66,6,173,0.88,3,9.3,7.0,5.9,12,0,78.8,High
EMP1197,26,1,Operations,Bachelor,Hybrid,1,310053,13,9,173,0.69,4,10.0,7.7,5.6,4,4,65.5,Medium
EMP1198,34,14,Sales,Diploma,Hybrid,4,1132934,23,5,163,0.7,4,6.6,7.4,9.6,14,0,53.4,Medium
EMP1199,56,34,Finance,Diploma,Onsite,6,2213600,2,7,151,0.79,4,5.9,6.0,5.5,13,1,42.1,Low
EMP1200,35,9,Finance,Bachelor,Onsite,3,833584,40,3,170,0.77,2,5.2,8.4,6.2,2,1,46.1,Low
EMP1201,54,33,IT,Master,Onsite,6,2141081,18,7,171,0.95,4,3.3,5.4,7.5,11,2,53.8,Medium
EMP1202,39,17,Operations,Master,Onsite,5,1387067,19,1,181,0.86,4,8.8,6.0,6.7,12,0,44.9,Low
EMP1203,47,25,HR,MBA,Onsite,6,1777561,14,5,183,0.77,4,6.2,6.7,7.8,14,1,58.5,Medium
EMP1204,38,17,IT,Bachelor,Onsite,5,1376302,47,5,172,0.85,10,8.2,7.3,4.9,15,0,52.0,Medium
EMP1205,31,10,HR,Bachelor,Onsite,3,989636,46,5,190,0.53,4,8.5,6.4,6.7,6,2,50.9,Medium
EMP1206,49,27,Operations,Master,Hybrid,6,1876407,62,4,163,0.71,5,5.1,8.7,7.9,18,0,79.4,High
EMP1207,56,30,IT,Bachelor,Hybrid,6,2078966,25,6,144,0.81,5,5.3,7.3,8.0,16,1,67.9,Medium
EMP1208,31,11,Operations,Master,Remote,3,982968,38,2,179,0.91,4,9.6,7.0,6.2,6,0,49.1,Low
EMP1209,50,28,Marketing,Bachelor,Hybrid,6,1856637,16,5,172,0.8,5,6.7,7.3,5.6,3,0,47.2,Low
EMP1210,31,11,Marketing,MBA,Hybrid,3,899893,30,7,179,0.95,7,5.7,8.0,7.3,7,2,44.3,Low
EMP1211,47,23,Operations,MBA,Onsite,6,1663320,27,5,147,0.88,2,5.1,7.3,5.2,0,2,54.3,Medium
EMP1212,50,28,Marketing,Master,Hybrid,6,1887258,42,5,202,0.72,1,6.6,4.2,8.8,14,1,69.0,Medium
